Reviewer,Review,Rating,Expense,Type
Rose Oommen,"If you are looking for a place with chill ambience, I would totally recommend you to visit Poetry by Love and Cheesecake. I had ordered a Pesto mushroom Risotto, a Spicy Siracha burger and a lemonade. They were all plated and presented very ï¿½",5 stars,very expensive,CafÃ
Shivraj Patil,"I recently visited the highly recommended poetry cafe and was impressed with its cozy and inviting atmosphere, great coffee, and wide variety of delicious food options. The baristas were knowledgeable and passionate about their craft, and ï¿½",4 stars,very expensive,CafÃ
Aftab Khan,"A Serene Ambience and Amazing Cheesecake

I had the pleasure of dining at Poetry by Love and Cheesecake in Chembur ï¿½",5 stars,very expensive,CafÃ
Urshita Dharod,We being Jain by Caste had ordered a vegetarian dish and instead they sent me a chicken stroganoff.. I am vegetarian Jain and I received a chicken dish which I was going to eat in full.. the restaurant doesnï¿½ï¿½ï¿½t bother about the inconvenien,1 star,very expensive,CafÃ
Shweta Shroff,"Cosy little placeï¿½ï¿½ï¿½ good, warm service. Their new stuffed omelette is super awesome.
Lovely place for breakfast. They are the few places open by 8am! No need f",5 stars,very expensive,CafÃ
Praneeta Kokare,"This is one of my favourite place to hangout with my close friends. The service, food quality, ambience is top notch. My favourite dish here is veg club sandwich, shawarma, peach iced tea and in desserts lotus biscoff cheesecake, blueberry cheesecake and Nutella cheese cake. This is a cute little cafe ideal for a date.",5 stars,very expensive,CafÃ
Pooja Mange,"Ambience is calming and beautiful here, staff is also super sweet. Loved their hospitality.
This place is bright and cute. ï¿½",5 stars,very expensive,CafÃ
Kshitij Ramrakhiani,"One of THE BEST breakfasts/brunches I've had in all of Mumbai. Great service, great menu and lip smacking delicious food! Highly recommended!! Especially the mushroom panini. Out of the world.",5 stars,very expensive,CafÃ
Randeep Singh,"It was great, we ordered quesadilla and chicken burrito along with very berry shake. Quesadilla was average tbh but chicken burrito was delicious and beyond my expectation. Also, the shake was amazing. I ordered coffee tiramisu in dessert ï¿½",5 stars,very expensive,CafÃ
Vikas Jaiswar,The food here at poetry was damn awesome. Lovely ambiance. Must visit.,4 stars,very expensive,CafÃ
Vedant Raut (Vedanta),"Classy ambience, well lit and delicious food sums up this cozy little restaurant located opposite to K-star mall,  Chembur.  There are only 3 table to sit.  So you might have to make a reservation prior if you need a table.  We were lucky ï¿½",5 stars,very expensive,CafÃ
Simmi Acharya,"Small Pastry ï¿½ï¿½ï¿½ï¿½ n Snack ï¿½ï¿½ï¿½ï¿½ Store.  Various varieties of Cheese Cakes ï¿½ï¿½ï¿½ï¿½Service is Fast. A Bit expensive, bt q",4 stars,very expensive,CafÃ
Sharayu Bhosale,The cafe is lovely. They have great options from cakes to coffees. Much needed cafe in chembur.,5 stars,very expensive,CafÃ
Sagar Kambli,"This is a heaven for cheesecake lovers. Though it's very expensive, but you can burn a hole in your pocket once a month as the cakes and pastries are addictive. ï¿½",4 stars,very expensive,CafÃ
pooja pharande,By now I've tried all the ï¿½ï¿½ï¿½ï¿½ menu and it's amazingly delicious. I'd recommend all of ' em but my personal favourites are blueberry cheesecake and chocolate sin. Yummy ,5 stars,very expensive,CafÃ
